Wall time,Step,Value
1666739270.591531,1,197.89808654785156
1666739277.888256,2,230.3116455078125
1666739285.8728452,3,263.0032043457031
1666739295.051166,4,296.5779113769531
1666739304.4852512,5,319.0871887207031
1666739313.576894,6,346.7919006347656
1666739323.105031,7,348.61077880859375
1666739334.303864,8,372.85223388671875
1666739345.997726,9,381.0202331542969
1666739356.831882,10,386.08843994140625
1666739366.957115,11,395.57049560546875
1666739377.520399,12,401.1020812988281
1666739387.701376,13,401.1020812988281
1666739398.3114,14,406.9216613769531
1666739409.136621,15,408.3710021972656
1666739419.970857,16,408.3710021972656
1666739431.2070808,17,420.00030517578125
1666739442.34193,18,420.00030517578125
1666739453.342713,19,420.00030517578125
1666739465.037892,20,431.1865234375
1666739476.8987021,21,436.3124694824219
1666739488.617588,22,436.3124694824219
1666739500.797581,23,450.7225036621094
1666739512.929198,24,450.7225036621094
1666739525.52974,25,450.7225036621094
1666739538.054293,26,450.7225036621094
1666739550.801378,27,459.9448547363281
1666739563.771008,28,463.12261962890625
1666739576.4833632,29,464.66162109375
1666739589.601111,30,472.2664794921875
1666739602.78976,31,482.9157409667969
1666739615.4548779,32,482.9157409667969
1666739628.071861,33,482.9157409667969
1666739641.078557,34,482.9157409667969
1666739654.8268642,35,482.9157409667969
1666739668.892134,36,482.9157409667969
1666739682.142001,37,485.095703125
1666739695.063019,38,485.095703125
1666739709.425806,39,485.095703125
1666739722.991337,40,485.095703125
1666739737.3491,41,485.095703125
1666739750.797436,42,485.095703125
1666739763.915136,43,485.095703125
1666739776.909472,44,485.095703125
1666739790.2196732,45,485.095703125
1666739805.012259,46,490.9754943847656
1666739819.673612,47,490.9754943847656
1666739835.33536,48,490.9754943847656
1666739849.486363,49,490.9754943847656
1666739862.789788,50,490.9754943847656
1666739877.634517,51,490.9754943847656
1666739891.5222871,52,490.9754943847656
1666739904.366424,53,490.9754943847656
1666739919.731454,54,499.50567626953125
1666739933.376704,55,499.50567626953125
1666739947.152114,56,499.50567626953125
1666739960.841355,57,499.50567626953125
1666739974.731814,58,499.50567626953125
1666739988.101747,59,499.50567626953125
1666740001.638377,60,499.50567626953125
1666740015.618751,61,502.2232971191406
1666740029.034224,62,502.2232971191406
1666740042.485096,63,502.2232971191406
1666740056.629486,64,502.2232971191406
1666740070.247859,65,502.2232971191406
1666740084.211273,66,502.2232971191406
1666740097.8296719,67,502.2232971191406
1666740111.1277719,68,502.2232971191406
1666740124.925604,69,502.2232971191406
1666740138.534038,70,502.2232971191406
1666740151.938655,71,502.2232971191406
1666740166.156595,72,502.2232971191406
1666740179.863948,73,502.2232971191406
1666740193.8293939,74,502.2232971191406
1666740207.438891,75,502.2232971191406
1666740221.214553,76,502.2232971191406
1666740235.12944,77,502.2232971191406
1666740249.51392,78,515.4730834960938
1666740263.8074229,79,515.4730834960938
1666740279.072203,80,515.4730834960938
1666740293.016253,81,515.4730834960938
1666740306.882574,82,515.4730834960938
1666740321.988039,83,518.087646484375
1666740335.6517591,84,518.087646484375
1666740349.743964,85,518.087646484375
1666740364.0536342,86,518.087646484375
1666740378.7216,87,518.087646484375
1666740392.697908,88,518.087646484375
1666740406.775285,89,518.087646484375
1666740420.5735328,90,518.087646484375
1666740434.726955,91,518.087646484375
1666740449.970836,92,518.087646484375
1666740464.000993,93,518.087646484375
1666740478.765326,94,518.087646484375
1666740493.025949,95,518.087646484375
1666740507.4182038,96,518.087646484375
1666740521.4862459,97,518.087646484375
1666740536.0910249,98,518.087646484375
1666740550.190997,99,518.087646484375
1666740564.653069,100,518.087646484375
